x,y,yaw,v
91.3542,1696.2983,2.7168,10.5308
90.3868,1696.7346,2.7307,10.5239
89.4304,1697.1497,2.7436,10.5166
88.4399,1697.5647,2.7560,10.5099
87.1752,1698.0742,2.7704,10.5018
86.2007,1698.4525,2.7804,10.4954
85.2372,1698.8157,2.7891,10.4897
84.2445,1699.1802,2.7974,10.4842
83.2567,1699.5337,2.8048,10.4793
82.2985,1699.8689,2.8113,10.4750
81.2986,1700.2111,2.8166,10.4705
80.3398,1700.5338,2.8209,10.4657
79.3488,1700.8628,2.8241,10.4611
78.3502,1701.1907,2.8259,10.4561
77.3614,1701.5133,2.8252,10.4510
76.3744,1701.8362,2.8229,10.4462
75.3966,1702.1586,2.8177,10.4407
74.4160,1702.4878,2.8105,10.4358
73.4437,1702.8225,2.8007,10.4312
72.4774,1703.1655,2.7876,10.4267
71.5035,1703.5258,2.7724,10.4236
70.5235,1703.9061,2.7553,10.4216
69.5584,1704.2997,2.7370,10.4210
68.6259,1704.7000,2.7178,10.4215
67.6638,1705.1354,2.6970,10.4232
66.7395,1705.5773,2.6765,10.4258
65.8122,1706.0444,2.6556,10.4293
64.8845,1706.5364,2.6344,10.4330
63.9784,1707.0417,2.6133,10.4368
63.0715,1707.5726,2.5915,10.4409
62.1667,1708.1295,2.5694,10.4453
61.2815,1708.7014,2.5481,10.4504
60.4270,1709.2800,2.5272,10.4550
59.5771,1709.8813,2.5054,10.4595
58.7201,1710.5164,2.4842,10.4663
57.9031,1711.1492,2.4648,10.4722
57.0825,1711.8107,2.4453,10.4781
56.2754,1712.4875,2.4261,10.4841
55.4805,1713.1804,2.4073,10.4905
54.6957,1713.8911,2.3887,10.4976
53.9370,1714.6038,2.3707,10.5055
53.1894,1715.3320,2.3528,10.5135
52.4525,1716.0759,2.3345,10.5219
51.7235,1716.8391,2.3160,10.5312
51.0063,1717.6187,2.2976,10.5420
50.3005,1718.4147,2.2789,10.5542
49.6104,1719.2229,2.2604,10.5678
48.9521,1720.0229,2.2426,10.5822
48.2943,1720.8525,2.2243,10.5973
47.6494,1721.6975,2.2057,10.6123
47.0138,1722.5632,2.1868,10.6273
46.4127,1723.4150,2.1685,10.6418
45.8206,1724.2877,2.1502,10.6555
45.2343,1725.1870,2.1315,10.6683
44.6620,1726.1018,2.1127,10.6803
44.1240,1726.9982,2.0946,10.6914
43.5928,1727.9203,2.0763,10.7016
43.0862,1728.8384,2.0582,10.7109
42.5803,1729.7958,2.0394,10.7194
42.1064,1730.7349,2.0211,10.7273
41.6426,1731.6974,2.0027,10.7347
41.1927,1732.6774,1.9847,10.7415
40.7571,1733.6733,1.9669,10.7478
40.3503,1734.6493,1.9497,10.7527
39.9528,1735.6514,1.9318,10.7573
39.5777,1736.6482,1.9142,10.7612
39.2190,1737.6559,1.8970,10.7643
38.8754,1738.6766,1.8801,10.7671
38.5548,1739.6848,1.8636,10.7688
38.2446,1740.7183,1.8467,10.7699
37.9564,1741.7402,1.8293,10.7704
37.6815,1742.7839,1.8109,10.7708
37.4254,1743.8345,1.7916,10.7710
37.1888,1744.8943,1.7718,10.7713
36.9667,1745.9932,1.7508,10.7716
